Nonsense,practice,period,drug,change
YAY Y00650 201206 rosuvastatin calcium -16
YAY Y00656 201205 simvastatin -34
YAY Y00656 201206 simvastatin 17
YAY Y00656 201206 rosuvastatin calcium 17
YAY Y00434 201205 atorvastatin 50
YAY Y00434 201205 simvastatin -50
YAY Y00434 201204 simvastatin 50
YAY Y00434 201206 pravastatin sodium -50
YAY Y00434 201206 simvastatin 35
YAY Y00433 201204 atorvastatin -21
YAY Y00433 201204 pravastatin sodium -21
YAY Y00433 201204 simvastatin 14
YAY Y00433 201206 atorvastatin -12
YAY Y00433 201206 pravastatin sodium -12
YAY Y00433 201206 rosuvastatin calcium -12
YAY Y00433 201203 simvastatin -31
YAY Y00438 201205 atorvastatin 40
YAY Y00438 201205 simvastatin -40
YAY Y00438 201204 simvastatin -20
YAY Y00438 201206 simvastatin 60
YAY J82217 201205 atorvastatin 22
YAY J82217 201205 simvastatin -28
YAY J82217 201205 rosuvastatin calcium -28
YAY J82217 201206 atorvastatin -11
YAY J82217 201206 simvastatin 17
YAY Y01740 201204 simvastatin -11
YAY Y02463 201205 atorvastatin 13
YAY Y02463 201205 pravastatin sodium 13
YAY Y02463 201205 simvastatin -16
YAY Y00737 201204 pravastatin sodium -18
YAY Y00737 201204 rosuvastatin calcium -18
YAY Y00737 201204 simvastatin 20
YAY Y00737 201206 atorvastatin 12
YAY Y00599 201205 simvastatin -33
YAY Y00599 201206 simvastatin 67
YAY F85710 201206 simvastatin -25
YAY Y02583 201205 atorvastatin -14
YAY Y02583 201205 simvastatin 15
YAY Y02583 201205 simvastatin & ezetimibe 15
YAY Y02580 201205 simvastatin -11
YAY P81799 201206 simvastatin -50
YAY B82045 201205 atorvastatin 11
YAY B82045 201205 rosuvastatin calcium -12
YAY B82045 201205 pravastatin sodium -12
YAY B82045 201206 atorvastatin 13
YAY F84659 201205 atorvastatin 50
YAY F84659 201204 atorvastatin 17
YAY F84659 201204 simvastatin -16
YAY F84659 201206 simvastatin 50
YAY G82813 201205 atorvastatin -52
YAY G82813 201205 simvastatin 63
YAY G82813 201204 atorvastatin -34
YAY G82813 201204 simvastatin -34
YAY G82813 201204 rosuvastatin calcium -34
YAY G82813 201206 atorvastatin 16
YAY G82813 201206 simvastatin -15
YAY Y02854 201204 atorvastatin 28
YAY Y02854 201204 pravastatin sodium 28
YAY Y02854 201204 rosuvastatin calcium 28
YAY Y02854 201204 simvastatin -34
YAY Y02854 201206 simvastatin -17
YAY Y02854 201203 simvastatin 28
YAY E87694 201205 simvastatin -31
YAY E87694 201205 rosuvastatin calcium -31
YAY E87694 201205 simvastatin & ezetimibe -31
YAY E87694 201204 simvastatin 22
YAY E87694 201206 atorvastatin 17
YAY E87694 201206 simvastatin 16
YAY E87691 201206 rosuvastatin calcium 16
YAY Y00987 201205 simvastatin -15
YAY Y00987 201204 atorvastatin 15
YAY Y00987 201204 simvastatin -15
YAY Y00987 201206 atorvastatin -25
YAY Y00987 201206 simvastatin 35
YAY Y00983 201205 atorvastatin -50
YAY Y00983 201205 simvastatin -50
YAY Y00983 201206 pravastatin sodium -50
YAY Y00983 201206 simvastatin 16
YAY Y00182 201205 atorvastatin 25
YAY Y00182 201205 simvastatin -25
YAY Y00182 201204 simvastatin 25
YAY Y00182 201206 simvastatin 25
YAY Y01764 201205 atorvastatin 24
YAY Y01764 201204 simvastatin -34
YAY Y01764 201206 simvastatin 40
YAY Y02115 201204 simvastatin 11
YAY Y02115 201206 atorvastatin 14
YAY Y02115 201206 pravastatin sodium 14
YAY Y02115 201206 simvastatin -33
YAY Y02115 201203 atorvastatin -41
YAY Y02115 201203 simvastatin 35
YAY C82124 201206 atorvastatin -12
YAY C82124 201206 simvastatin 12
YAY E84649 201205 simvastatin 45
YAY E84649 201204 atorvastatin 32
YAY E84649 201204 simvastatin -29
YAY Y01026 201205 simvastatin -17
YAY Y01027 201205 simvastatin 50
YAY Y01027 201204 simvastatin -50
YAY Y01027 201206 atorvastatin 50
YAY Y01027 201206 simvastatin -50
YAY Y02615 201205 simvastatin -29
YAY B82062 201206 rosuvastatin calcium -15
YAY C81626 201205 simvastatin -30
YAY C88627 201205 atorvastatin -11
YAY C88627 201205 simvastatin 35
YAY C88627 201204 atorvastatin 15
YAY C88627 201204 simvastatin -40
YAY C88627 201204 rosuvastatin calcium -40
YAY C88627 201206 simvastatin -15
YAY C88627 201206 rosuvastatin calcium -15
YAY C88626 201205 atorvastatin 36
YAY C88626 201205 simvastatin -38
YAY C88626 201206 atorvastatin -15
YAY C88626 201206 simvastatin 19
YAY F81006 201206 atorvastatin -13
YAY F81006 201206 fluvastatin sodium -13
YAY Y02428 201205 simvastatin -50
YAY Y02428 201205 rosuvastatin calcium -50
YAY F84700 201205 atorvastatin 16
YAY F84700 201205 pravastatin sodium 16
YAY F84700 201205 simvastatin -14
YAY E87717 201204 simvastatin -11
YAY C85025 201206 pravastatin sodium 28
YAY Y02525 201205 simvastatin 40
YAY Y02525 201204 simvastatin 27
YAY Y02525 201206 atorvastatin 40
YAY Y02525 201206 simvastatin -75
YAY Y02529 201206 atorvastatin -16
